Song,Nation,Year,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
\A.B. Free Feat. Linda Rocco - Go Deeper (Trance Mix),Germany,1993,-155.70224900254993,80.49284589113215,12.852578113749862,25.511630640685976,0.06390611767902013,13.756960445059084,-3.3436992087039505,11.842082992704183,-4.984107784213763,12.513270339337579,-2.9387105671831177,5.531579883656207,-6.231888543429206,2564.519525873687,5725.373719450186,0.025055795462645615,2685.599365374468,0.11201381132190806
\Abfahrt - Alone (It's Me) (Alley Cat Edit),Germany,1989,-254.83336511535532,90.48643747122422,25.57248819435032,17.877550506149625,16.242671248955702,6.301270360247306,-1.6231105682448392,3.3034155006484522,-0.6933638964970361,5.32527279176028,-2.4213154061813493,5.281620002241711,-4.957968261939106,2434.613593943229,4938.280717527124,0.022996611238639428,2375.3746623820725,0.09802159159402819
\Abfahrt - Alone (It's Me) (Breathless),Germany,1989,-196.6847142482382,80.13417663107913,20.549212820964513,25.500257149197566,27.829603465458092,11.603370871354981,2.5715064262024616,7.202516388546221,4.164540397905464,13.48674251736104,0.913770359527332,9.915460396624022,-3.440806797281931,2690.956441479179,6129.721597234736,0.025182858105734268,2839.835609050531,0.08985491128886944
\Abfahrt - Come Into My Life (Breathless Version),Germany,1992,-78.26067462238169,72.44508357282166,12.735750564552713,11.917956782321264,11.20290057952951,13.578957043376906,-2.809188680037469,11.378239950088968,-5.171060095351087,11.730529368860028,-5.686943375998081,6.348833242896852,-6.203505794749744,3223.3926633494784,7134.491397335321,0.05284828021198028,3033.7532897903448,0.16694365846053152
\Abfahrt - Come Into My Life (S.M.I².L.E. Version),Germany,1992,-109.82257892215533,89.46216739028775,5.281498134620729,18.59257950238284,8.887335500900292,13.495311497219395,-3.8396276541030128,10.788241351317962,-4.569429556383759,12.220619797483293,-3.7398819442986615,6.264274223839432,-4.771658474614259,2557.5373843717725,5829.870729684609,0.02880317506053174,2701.6673679647374,0.1129676840020814
\Ace The Space - 1 Gun - 2 Gun - 3 Gun - Roar!,Germany,1993,-87.93421677090437,101.26412342279087,-19.155349666266712,16.40817779243887,1.8110538217558843,15.585330212426085,-0.07866414606319583,12.972019826654366,-2.806729828155277,10.393001141100005,-2.032686333790575,8.080198138499698,-1.7357045417541452,2064.1491310564666,4450.237395839441,0.013802822803928031,2311.4087303804613,0.08101575325398687
\Ace The Space - 9 Is A Classic,Germany,1992,-76.68223839820865,88.21307601663018,-0.44689060607040515,25.537297953767784,3.6934278104257716,22.07459542352774,-0.4756090718232262,14.058826325109811,-2.0976530680674297,12.7509813424453,-5.5263104585041445,11.010467776106399,-4.157010980639976,2373.8051919581226,5374.306646808384,0.01603991487021378,2570.4150715803326,0.08694250606796117
\Ace the Space - Ace goes crazy,Germany,1991,-124.32979978663016,54.5718123766855,-10.175971353100312,23.26893847429166,4.594313348959378,18.247299369780308,6.2738320693607195,18.79220981392671,1.4762291156408045,14.755934995080235,0.5859087180448822,12.434358117123166,0.2740551959254027,3052.763506386713,6453.640999148726,0.048618824147768164,2786.227218228138,0.10743274476420621
\Ace The Space - Ace In The Hole (Original Godfather Mix),Germany,1991,-128.65447456347542,51.853381994207304,-4.376588976445726,34.514241327438,-9.264269892905878,29.60556256866388,-5.738017362444053,19.88257973148264,-1.8166987212547776,10.935016511060082,0.42943735296336943,12.34397219244203,2.5546288331201024,3070.9750932426796,6177.580714427043,0.025346861380594884,2615.9880023471997,0.12440366981644922
\Ace the Space - Ace In The Hole (T-Bone's Radical Dub),Germany,1991,-44.96378544834602,68.27814088589804,4.746087101745818,25.57658698857682,-3.7941904234247548,22.06488792267016,1.4363309775676045,19.712535194018056,-1.6571669814549386,14.52244705435208,-5.185708884816084,7.637363703997007,-11.317048247614077,2936.230177827669,6427.37197265625,0.02430616389574316,2812.5842592815857,0.09854994419642857
\Ace The Space - Go Voodoo!,Germany,1993,-107.69397387500477,107.5963612590898,-8.001783990305196,17.213470992575353,6.809745790204634,12.69950070510829,0.9682132400226358,14.725618898724418,-2.963975831065471,8.942613921979456,-0.39332486154160823,14.462942304844013,-4.40205086671258,2097.8468828528253,4729.810651416729,0.012529330853083127,2428.9857895246732,0.08146781626182287
\Ace The Space - HomeRave,Germany,1992,-166.63286025618814,135.78354738649372,-55.65918990955907,9.423131169492933,-19.86641548159772,-0.5319383328288827,-1.5654090658513624,1.9344499764559786,-9.964571605571932,0.3310288268295627,-7.1707227849797395,0.6737954174012146,-9.992910198125596,1764.2843578534405,3297.8618442612205,0.007531106583262609,1672.8808246196309,0.10707177625139822
